S no,City,State,Population,Metropolitan,Sexratio,Literacy
460,"Karaikkudi","Tamil Nadu",106714,181347,1000,0.9049
461,"Khargone","Madhya Pradesh",106454,133361,947,0.8193
462,"Wardha","Maharashtra",106444,106444,982,0.9377
463,"Ranibennur","Karnataka",106406,106406,969,0.8597
464,"Kishanganj","Bihar",105782,105782,918,0.7346
465,"Neyveli","Tamil Nadu",105731,178925,980,0.9042
466,"Amreli","Gujarat",105573,118059,922,0.8829
467,"Suryapet","Andhra Pradesh",105531,106524,1025,0.8309
468,"Gangawati","Karnataka",105529,114459,1003,0.7543
469,"Hindaun","Rajasthan",105452,105452,889,0.7531
470,"Jamalpur","Bihar",105434,105434,880,0.8646
471,"Bhiwadi","Rajasthan",104921,104921,757,0.7984
473,"Bansberia","West Bengal",103920,103920,933,0.8505
474,"Tadepalligudem","Andhra Pradesh",103906,103703,1022,0.8269
475,"Miryalaguda","Andhra Pradesh",103817,104956,996,0.814
477,"Udgir","Maharashtra",103550,103550,917,0.8425
478,"Betul","Madhya Pradesh",103330,103330,956,0.8928
479,"Bundi","Rajasthan",103286,104457,926,0.8204
480,"Jehanabad","Bihar",103202,103202,886,0.785
481,"Ambala Sadar","Haryana",103093,103093,921,0.8846
482,"Nagapattinam","Tamil Nadu",102905,102905,1026,0.8902
483,"Nagaur","Rajasthan",102872,108540,945,0.7068
484,"Buxar","Bihar",102861,110608,895,0.8382
485,"Seoni","Madhya Pradesh",102343,102343,955,0.9046
486,"Aurangabad","Bihar",102244,102244,910,0.8603
488,"Hinganghat","Maharashtra",101805,101805,936,0.9325
489,"Sujangarh","Rajasthan",101523,101523,956,0.7333
490,"Bhadreswar","West Bengal",101477,101477,903,0.8651
491,"Chilakaluripet","Andhra Pradesh",101398,101398,1020,0.7154
493,"Kalyani","West Bengal",100575,100575,983,0.879
494,"Gangtok","Sikkim",100286,100286,912,0.8933
495,"Datia","Madhya Pradesh",100284,100284,900,0.8056
496,"Nagda","Madhya Pradesh",100039,100039,947,0.8071
497,"Banswara","Rajasthan",99969,101177,960,0.8572
498,"Kapurthala","Punjab",98916,98916,839,0.8508
